"name" "description"
"X102_irnt" "Pulse rate, automated reading"
"X1249" "Past tobacco smoking"
"X1558" "Alcohol intake frequency."
"X1568" "Average weekly red wine intake"
"X1588" "Average weekly beer plus cider intake"
"X1687" "Comparative body size at age 10"
"X1697" "Comparative height size at age 10"
"X1717" "Skin colour"
"X1727" "Ease of skin tanning"
"X1737" "Childhood sunburn occasions"
"X1747_1" "Hair colour (natural, before greying): Blonde"
"X1747_2" "Hair colour (natural, before greying): Red"
"X1747_3" "Hair colour (natural, before greying): Light brown"
"X1747_4" "Hair colour (natural, before greying): Dark brown"
"X1747_5" "Hair colour (natural, before greying): Black"
"X1747_6" "Hair colour (natural, before greying): Other"
"X1757" "Facial ageing"
"X1950" "Sensitivity / hurt feelings"
"X1970" "Nervous feelings"
"X1980" "Worrier / anxious feelings"
"X20002_1065" "Non-cancer illness code, self-reported: hypertension (高血压)"
"X20002_1093" "Non-cancer illness code, self-reported: pulmonary embolism +/- dvt"
"X20002_1094" "Non-cancer illness code, self-reported: deep venous thrombosis (dvt)"
"X20002_1111" "Non-cancer illness code, self-reported: asthma"
"X20002_1220" "Non-cancer illness code, self-reported: diabetes"
"X20002_1223" "Non-cancer illness code, self-reported: type 2 diabetes"
"X20002_1225" "Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis (甲亢)"
"X20002_1226" "Non-cancer illness code, self-reported: hypothyroidism/myxoedema (甲状腺功能低下/粘液水肿)"
"X20002_1387" "Non-cancer illness code, self-reported: hayfever/allergic rhinitis (花粉过敏，鼻炎)"
"X20002_1445" "Non-cancer illness code, self-reported: clotting disorder/excessive bleeding"
"X20002_1451" "Non-cancer illness code, self-reported: hereditary/genetic haematological disorder (遗传性血液病)"
"X20002_1471" "Non-cancer illness code, self-reported: atrial fibrillation (心房颤动)"
"X20002_1473" "Non-cancer illness code, self-reported: high cholesterol"
"X20003_1140861924" " Treatment/medication code: bezafibrate (调血脂药，高脂蛋白血症Ⅰ/Ⅱ/Ⅲ/Ⅳ/Ⅴ型)"
"X20003_1140861954" "Treatment/medication code: fenofibrate (降低胆固醇水平)"
"X20003_1140861958" "Treatment/medication code: simvastatin (降血脂药)"
"X20003_1140861998" "Treatment/medication code: ventolin 100micrograms inhaler (气喘药物)"
"X20003_1140874744" "Treatment/medication code: gliclazide (二型糖尿病药物)"
"X20003_1140883066" "Treatment/medication code: insulin product"
"X20003_1140884600" "Treatment/medication code: metformin (治疗二型糖尿病，特别是超重患者)"
"X20003_1140888266" "Treatment/medication code: warfarin (抗凝血素)"
"X20003_1140888570" "Treatment/medication code: flecainide (心律失常药物)"
