"name" "description"
"100400" "Standard tea intake"
"102_irnt" "Pulse rate, automated reading"
"1050" "Time spend outdoors in summer"
"1070" "Time spent watching television (TV)"
"1100" "Drive faster than motorway speed limit"
"1170" "Getting up in morning"
"1180" "Morning/evening person (chronotype)"
"1190" "Nap during day"
"1200" "Sleeplessness/insomnia"
"1249" "Past tobacco smoking"
"1309" "Fresh fruit intake"
"1319" "Dried fruit intake"
"1329" "Oily fish intake"
"1369" "Beef intake"
"137" "Number of treatments/medications taken"
"1418_3" "Milk type used: Skimmed"
"1428_1" "Spread type: Butter/spreadable butter"
"1448_1" "Bread type: White"
"1448_3" "Bread type: Wholemeal or wholegrain"
"1448_4" "Bread type: Other type of bread"
"1458" "Cereal intake"
"1468_3" "Cereal type: Oat cereal (e.g. Ready Brek, porridge)"
"1488_irnt" "Tea intake"
"1498" "Coffee intake"
"1508_2" "Coffee type: Instant coffee"
"1508_3" "Coffee type: Ground coffee (include espresso, filter etc)"
"1518" "Hot drink temperature"
"1528" "Water intake"
"1538_0" "Major dietary changes in the last 5 years: No"
"1538_1" "Major dietary changes in the last 5 years: Yes, because of illness"
"1538_2" "Major dietary changes in the last 5 years: Yes, because of other reasons"
"1558" "Alcohol intake frequency"
"1568" "Average weekly red wine intake"
"1588" "Average weekly beer plus cider intake"
"1598" "Average weekly spirits intake"
"1687" "Comparative body size at age 10"
"1697" "Comparative height size at age 10"
"1717" "Skin colour"
"1727" "Ease of skin tanning"
"1737" "Childhood sunburn occasions"
"1747_1" "Hair colour (natural, before greying): Blonde"
"1747_2" "Hair colour (natural, before greying): Red"
"1747_3" "Hair colour (natural, before greying): Light brown"
"1747_4" "Hair colour (natural, before greying): Dark brown"
"1747_5" "Hair colour (natural, before greying): Black"
"1747_6" "Hair colour (natural, before greying): Other"
"1757" "Facial aging"
"1797" "Father still alive"
"1835" "Mother still alive"
"1920" "Mood swings"
"1930" "Miserableness"
"1950" "Sensitivity/hurt feelings"
"1970" "Nervous feelings"
"1980" "Worrier/anxious feelings"
"2000" "Worry too long after embarrassment"
"20001_1059" "Cancer code, self-reported: malignant melanoma"
"20001_1060" "Cancer code, self-reported: non-melanoma skin cancer"
"20001_1061" "Cancer code, self-reported: basal cell carcinoma"
"20002_1065" "Non-cancer illness code, self-reported: hypertension"
"20002_1074" "Non-cancer illness code, self-reported: angina"
"20002_1075" "Non-cancer illness code, self-reported: heart attack/myocardial infarction"
"20002_1077" "Non-cancer illness code, self-reported: heart arrhythmia"
"20002_1093" "Non-cancer illness code, self-reported: pulmonary embolism +/- dvt"
"20002_1094" "Non-cancer illness code, self-reported: deep venous thrombosis (dvt)"
"20002_1111" "Non-cancer illness code, self-reported: asthma"
"20002_1162" "Non-cancer illness code, self-reported: cholelithiasis/gall stones"
"20002_1220" "Non-cancer illness code, self-reported: diabetes"
"20002_1223" "Non-cancer illness code, self-reported: type 2 diabetes"
"20002_1225" "Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis"
"20002_1226" "Non-cancer illness code, self-reported: hypothyroidism/myxoedema"
"20002_1250" "Non-cancer illness code, self-reported: bell's palsy/facial nerve palsy"
"20002_1313" "Non-cancer illness code, self-reported: ankylosing spondylitis"
"20002_1371" "Non-cancer illness code, self-reported: sarcoidosis"
"20002_1387" "Non-cancer illness code, self-reported: hayfever/allergic rhinitis"
"20002_1394" "Non-cancer illness code, self-reported: peripheral nerve injury"
"20002_1417" "Non-cancer illness code, self-reported: nasal polyps"
"20002_1445" "Non-cancer illness code, self-reported: clotting disorder/excessive bleeding"
"20002_1451" "Non-cancer illness code, self-reported: hereditary/genetic haematological disorder"
"20002_1452" "Non-cancer illness code, self-reported: eczema/dermatitis"
"20002_1453" "Non-cancer illness code, self-reported: psoriasis"
"20002_1456" "Non-cancer illness code, self-reported: malabsorption/coeliac disease"
"20002_1458" "Non-cancer illness code, self-reported: diverticular disease/diverticulitis"
"20002_1465" "Non-cancer illness code, self-reported: osteoarthritis"
"20002_1466" "Non-cancer illness code, self-reported: gout"
"20002_1471" "Non-cancer illness code, self-reported: atrial fibrillation"
"20002_1473" "Non-cancer illness code, self-reported: high cholesterol"
"20002_1526" "Non-cancer illness code, self-reported: polio/poliomyelitis"
"20002_1616" "Non-cancer illness code, self-reported: insomnia"
"20003_1140861924" " Treatment/medication code: bezafibrate"
"20003_1140861954" "Treatment/medication code: fenofibrate"
"20003_1140861958" "Treatment/medication code: simvastatin"
"20003_1140861998" "Treatment/medication code: ventolin 100micrograms inhaler"
"20003_1140862382" "Treatment/medication code: becotide 50 inhaler"
"20003_1140866738" "Treatment/medication code: atenolol"
"20003_1140867876" "Treatment/medication code: prozac 20mg capsule"
"20003_1140868226" "Treatment/medication code: aspirin"
"20003_1140874744" "Treatment/medication code: gliclazide"
"20003_1140875408" "Treatment/medication code: allopurinol"
"20003_1140878304" "Treatment/medication code: e45 cream"
"20003_1140879854" "Treatment/medication code: sotalol"
"20003_1140883066" "Treatment/medication code: insulin product"
"20003_1140883548" "Treatment/medication code: ipratropium"
"20003_1140884516" "Treatment/medication code: thyroxine product"
"20003_1140884600" "Treatment/medication code: metformin"
"20003_1140888092" "Treatment/medication code: elocon cream"
"20003_1140888266" "Treatment/medication code: warfarin"
"20003_1140888570" "Treatment/medication code: flecainide"
"20003_1140911734" "Treatment/medication code: ginkgo forte tablet"
"20003_1140923670" "Treatment/medication code: gtn - glyceryl trinitrate"
"20003_1140927086" "Treatment/medication code: arthrotec 50 tablet"
"20003_1140927730" "Treatment/medication code: epaderm ointment"
"20003_1140928284" "Treatment/medication code: moxonidine"
"20003_1141146138" "Treatment/medication code: lipitor 10mg tablet"
"20003_1141146234" "Treatment/medication code: atorvastatin"
"20003_1141164828" "Treatment/medication code: adcal-d3 1.5g/10micrograms chewable tablet"
"20003_1141168752" "Treatment/medication code: peptac liquid"
"20003_1141171646" "Treatment/medication code: pioglitazone"
"20003_1141179992" "Treatment/medication code: dovobet ointment"
"20003_1141191044" "Treatment/medication code: levothyroxine sodium"
"20003_1141192410" "Treatment/medication code: rosuvastatin"
"20003_1141192736" "Treatment/medication code: ezetimibe"
"20003_2038459814" "Treatment/medication code: digoxin"
"20003_2038460150" "Treatment/medication code: paracetamol"
"20015_irnt" "Sitting height"
"20022_irnt" "Birth weight"
"20084_474" "Vitamin and/or mineral supplement use: Evening primrose"
"20086_8" "Type of special diet followed: Gluten-free"
"2010" "Suffer from nerves"
"20107_1" "Illnesses of father: Heart disease"
"20107_10" "Illnesses of father: Alzheimers disease/dementia"
"20107_9" "Illnesses of father: Diabetes"
"20110_10" "Illnesses of mother: Alzheimer's disease/dementia"
"20110_100" "Illnesses of mother: None of the above (group 1)"
"20110_11" "Illnesses of mother: Parkinsons disease"
"20110_5" "Illnesses of mother: Breast cancer"
"20110_9" "Illnesses of mother: Diabetes"
"20111_10" "Illnesses of siblings: Alzheimer's disease/dementia"
"20111_100" "Illnesses of siblings: None of the above (group 1)"
"20111_8" "Illnesses of siblings: High blood pressure"
"20111_9" "Illnesses of siblings: Diabetes"
"20116_0" "Smoking status: Never"
"20116_1" "Smoking status: Previous"
"20127_irnt" "Neuroticism score"
"20150_irnt" "Forced expiratory volume in 1-second (FEV1), Best measure"
"20151_irnt" "Forced vital capacity (FVC), Best measure"
"20153_irnt" "Forced expiratory volume in 1-second (FEV1), predicted"
"20154_irnt" "Forced expiratory volume in 1-second (FEV1), predicted percentage"
"20160" "Ever smoked"
"2040" "Risk taking"
"20403" "Amount of alcohol drunk on a typical drinking day"
"20405_0" "Ever had known person concerned about, or recommend reduction of, alcohol consumption: No"
"20405_1" "Ever had known person concerned about, or recommend reduction of, alcohol consumption: Yes, but not in the last year"
"20406" "Ever addicted to alcohol"
"20408" "Frequency of memory loss due to drinking alcohol in last year"
"20414" "Frequency of drinking alcohol"
"20416" "Frequency of consuming six or more units of alcohol"
"20474" "Ever believed in un-real communications or signs"
"20544_7" "Mental health problems ever diagnosed by a professional: Obsessive compulsive disorder (OCD)"
"20553_3" "Methods of self-harm used: Stopping prescribed medication"
"21001_irnt" "Body mass index (BMI)"
"21002_irnt" "Weight"
"2139_irnt" "Age first had sexual intercourse"
"2149" "Lifetime number of sexual partners"
"2178" "Overall health rating"
"2188" "Long-standing illness, disability or infirmity"
"22126" "Doctor diagnosed hayfever or allergic rhinitis"
"22127" "Doctor diagnosed asthma"
"22133" "Doctor diagnosed sarcoidosis"
"2217_irnt" "Age started wearing glasses or contact lenses"
"2247_0" "Hearing difficulty/problems: No"
"2247_1" "Hearing difficulty/problems: Yes"
"22506_114" "Tobacco smoking: Never smoked"
"2267" "Use of sun/uv protection"
"23098_irnt" "Weight"
"23099_irnt" "Body fat percentage"
"23100_irnt" "Whole body fat mass"
"23101_irnt" "Whole body fat-free mass"
"23102_irnt" "Whole body water mass"
"23104_irnt" "Body mass index (BMI)"
"23105_irnt" "Basal metabolic rate"
"23106_irnt" "Impedance of whole body"
"23107_irnt" "Impedance of leg (right)"
"23108_irnt" "Impedance of leg (left)"
"23109_irnt" "Impedance of arm (right)"
"23110_irnt" "Impedance of arm (left)"
"23111_irnt" "Leg fat percentage (right)"
"23112_irnt" "Leg fat mass (right)"
"23113_irnt" "Leg fat-free mass (right)"
"23114_irnt" "Leg predicted mass (right)"
"23115_irnt" "Leg fat percentage (left)"
"23116_irnt" "Leg fat mass (left)"
"23117_irnt" "Leg fat-free mass (left)"
"23118_irnt" "Leg predicted mass (left)"
"23119_irnt" "Arm fat percentage (right)"
"23120_irnt" "Arm fat mass (right)"
"23121_irnt" "Arm fat-free mass (right)"
"23122_irnt" "Arm predicted mass (right)"
"23123_irnt" "Arm fat percentage (left)"
"23124_irnt" "Arm fat mass (left)"
"23125_irnt" "Arm fat-free mass (left)"
"23126_irnt" "Arm predicted mass (left)"
"23127_irnt" "Trunk fat percentage"
"23128_irnt" "Trunk fat mass"
"23129_irnt" "Trunk fat-free mass"
"23130_irnt" "Trunk predicted mass"
"2316" "Wheeze or whistling in the chest in last year"
"2443" "Diabetes diagnosed by doctor"
"2463" "Fractured/broken bones in last 5 years"
"2492" "Taking other prescription medications"
"2644" "Light smokers, at least 100 smokes in lifetime"
"2654_2" "Non-butter spread type details: Flora Pro-Active or Benecol"
"2654_6" "Non-butter spread type details: Olive oil based spread (eg: Bertolli)"
"2664_3" "Reason for reducing amount of alcohol drunk: Health precaution"
"2664_5" "Reason for reducing amount of alcohol drunk: Other reason"
"2887" "Number of cigarettes previously smoked daily"
"2966_irnt" "Age high blood pressure diagnosed"
"2976_irnt" "Age diabetes diagnosed"
"2986" "Started insulin within one year diagnosis of diabetes"
"30000_irnt" "White blood cell (leukocyte) count"
"30010_irnt" "Red blood cell (erythrocyte) count"
