"name" "description"
"1110" "Length of mobile phone use"
"1160" "Sleep duration"
"1170" "Getting up in morning"
"1190" "Nap during day"
"1200" "Sleeplessness / insomnia"
"1329" "Oily fish intake"
"137" "Number of treatments/medications taken"
"1418_3" "Milk type used: Skimmed"
"1428_1" "Spread type: Butter/spreadable butter"
"1428_3" "Spread type: Other type of spread/margarine"
"1538_0" "Major dietary changes in the last 5 years: No"
"1538_1" "Major dietary changes in the last 5 years: Yes, because of illness"
"1548" "Variation in diet"
"1558" "Alcohol intake frequency."
"1687" "Comparative body size at age 10"
"1697" "Comparative height size at age 10"
"1717" "Skin colour"
"1727" "Ease of skin tanning"
"1747_1" "Hair colour (natural, before greying): Blonde"
"1747_2" "Hair colour (natural, before greying): Red"
"1747_3" "Hair colour (natural, before greying): Light brown"
"1747_4" "Hair colour (natural, before greying): Dark brown"
"1747_5" "Hair colour (natural, before greying): Black"
"1747_6" "Hair colour (natural, before greying): Other"
"1873" "Number of full brothers"
"1920" "Mood swings"
"1930" "Miserableness"
"1950" "Sensitivity / hurt feelings"
"1960" "Fed-up feelings"
"1970" "Nervous feelings"
"1980" "Worrier / anxious feelings"
"20001_1059" "Cancer code, self-reported: malignant melanoma"
"20001_1061" "Cancer code, self-reported: basal cell carcinoma (基底细胞癌，属于皮肤癌)"
"20002_1065" "Non-cancer illness code, self-reported: hypertension (高血压)"
"20002_1074" "Non-cancer illness code, self-reported: angina"
"20002_1075" "Non-cancer illness code, self-reported: heart attack/myocardial infarction"
"20002_1077" "Non-cancer illness code, self-reported: heart arrhythmia (心律失常)"
"20002_1093" "Non-cancer illness code, self-reported: pulmonary embolism +/- dvt"
"20002_1094" "Non-cancer illness code, self-reported: deep venous thrombosis (dvt)"
"20002_1111" "Non-cancer illness code, self-reported: asthma"
"20002_1162" "Non-cancer illness code, self-reported: cholelithiasis/gall stones (胆结石)"
"20002_1220" "Non-cancer illness code, self-reported: diabetes"
"20002_1223" "Non-cancer illness code, self-reported: type 2 diabetes"
